season,date,home_team,away_team,scorer,scorer_team,goals
20132014,2013-10-26,New York Islanders,Philadelphia Flyers,Vincent Lecavalier,Philadelphia Flyers,3
20132014,2013-10-29,Chicago Blackhawks,Ottawa Senators,Jonathan Toews,Chicago Blackhawks,3
20132014,2013-11-01,Philadelphia Flyers,Washington Capitals,Joel Ward,Washington Capitals,3
20132014,2013-11-02,New York Rangers,Carolina Hurricanes,Derek Stepan,New York Rangers,3
20132014,2013-11-08,Anaheim Ducks,Buffalo Sabres,Ryan Getzlaf,Anaheim Ducks,3
20132014,2013-11-14,Calgary Flames,Dallas Stars,Tyler Seguin,Dallas Stars,4
20132014,2013-11-19,Montréal Canadiens,Minnesota Wild,Max Pacioretty,Montréal Canadiens,3
20132014,2013-11-29,San Jose Sharks,St. Louis Blues,Brent Burns,San Jose Sharks,3
20132014,2013-11-30,New York Rangers,Vancouver Canucks,Chris Kreider,New York Rangers,3
20132014,2013-12-05,Nashville Predators,Carolina Hurricanes,Jeff Skinner,Carolina Hurricanes,3
20132014,2013-12-05,Edmonton Oilers,Colorado Avalanche,Taylor Hall,Edmonton Oilers,3
20132014,2013-12-07,Dallas Stars,Philadelphia Flyers,Tyler Seguin,Dallas Stars,3
20132014,2013-12-10,Washington Capitals,Tampa Bay Lightning,Alex Ovechkin,Washington Capitals,4
20132014,2013-12-21,Ottawa Senators,Phoenix Coyotes,Antoine Vermette,Phoenix Coyotes,3
20132014,2013-12-21,New York Islanders,Anaheim Ducks,Ryan Getzlaf,Anaheim Ducks,3
20132014,2013-12-21,Edmonton Oilers,St. Louis Blues,Chris Stewart,St. Louis Blues,3
20132014,2013-12-27,Chicago Blackhawks,Colorado Avalanche,Patrick Sharp,Chicago Blackhawks,3
20132014,2013-12-29,Columbus Blue Jackets,Pittsburgh Penguins,James Neal,Pittsburgh Penguins,3
20132014,2014-01-02,Washington Capitals,Carolina Hurricanes,Jeff Skinner,Carolina Hurricanes,3
20132014,2014-01-03,New Jersey Devils,Chicago Blackhawks,Patrick Sharp,Chicago Blackhawks,3
20132014,2014-01-04,Minnesota Wild,Washington Capitals,Ryan Suter,Minnesota Wild,3
20132014,2014-01-06,New York Islanders,Dallas Stars,John Tavares,New York Islanders,3
20132014,2014-01-09,Phoenix Coyotes,Minnesota Wild,Justin Fontaine,Minnesota Wild,3
20132014,2014-01-18,Tampa Bay Lightning,San Jose Sharks,Martin St. Louis,Tampa Bay Lightning,4
20132014,2014-01-18,Tampa Bay Lightning,San Jose Sharks,Joe Pavelski,San Jose Sharks,3
20132014,2014-01-24,Calgary Flames,Nashville Predators,Eric Nystrom,Nashville Predators,4
20132014,2014-01-25,Tampa Bay Lightning,Colorado Avalanche,Tyler Johnson,Tampa Bay Lightning,3
20132014,2014-01-26,Vancouver Canucks,Phoenix Coyotes,Antoine Vermette,Phoenix Coyotes,3
20132014,2014-01-27,Vancouver Canucks,Edmonton Oilers,David Perron,Edmonton Oilers,3
20132014,2014-02-01,Toronto Maple Leafs,Ottawa Senators,Phil Kessel,Toronto Maple Leafs,3
20132014,2014-02-02,Washington Capitals,Detroit Red Wings,Gustav Nyquist,Detroit Red Wings,3
20132014,2014-02-06,Montréal Canadiens,Vancouver Canucks,Max Pacioretty,Montréal Canadiens,3
20132014,2014-02-27,Philadelphia Flyers,San Jose Sharks,Joe Pavelski,San Jose Sharks,3
20132014,2014-02-27,Ottawa Senators,Detroit Red Wings,Johan Franzen,Detroit Red Wings,3
20132014,2014-03-04,Boston Bruins,Florida Panthers,David Krejci,Boston Bruins,3
20132014,2014-03-06,Dallas Stars,Vancouver Canucks,Tyler Seguin,Dallas Stars,3
20132014,2014-03-14,Winnipeg Jets,New York Rangers,Carl Hagelin,New York Rangers,3
20132014,2014-03-18,Montréal Canadiens,Colorado Avalanche,Thomas Vanek,Montréal Canadiens,3
20132014,2014-03-19,Toronto Maple Leafs,Tampa Bay Lightning,Steven Stamkos,Tampa Bay Lightning,3
20132014,2014-03-22,Edmonton Oilers,Calgary Flames,Curtis Glencross,Calgary Flames,3
20132014,2014-03-25,Toronto Maple Leafs,St. Louis Blues,David Backes,St. Louis Blues,3
20132014,2014-03-25,Edmonton Oilers,San Jose Sharks,Joe Pavelski,San Jose Sharks,3
20132014,2014-03-27,St. Louis Blues,Minnesota Wild,T.J. Oshie,St. Louis Blues,3
20132014,2014-03-29,Toronto Maple Leafs,Detroit Red Wings,Darren Helm,Detroit Red Wings,3
20132014,2014-03-31,New Jersey Devils,Florida Panthers,Travis Zajac,New Jersey Devils,3
20132014,2014-04-04,Ottawa Senators,Montréal Canadiens,Max Pacioretty,Montréal Canadiens,3
20132014,2014-04-11,San Jose Sharks,Colorado Avalanche,Martin Havlat,San Jose Sharks,3
20142015,2014-10-09,Pittsburgh Penguins,Anaheim Ducks,Corey Perry,Anaheim Ducks,3
20142015,2014-10-09,Edmonton Oilers,Calgary Flames,Mason Raymond,Calgary Flames,3
20142015,2014-10-11,New York Islanders,Carolina Hurricanes,Jiri Tlusty,Carolina Hurricanes,3
20142015,2014-10-13,Tampa Bay Lightning,Montréal Canadiens,Steven Stamkos,Tampa Bay Lightning,3
20142015,2014-10-14,Columbus Blue Jackets,Dallas Stars,Tyler Seguin,Dallas Stars,3
20142015,2014-10-15,Arizona Coyotes,Edmonton Oilers,Mikkel Boedker,Arizona Coyotes,3
20142015,2014-10-18,Arizona Coyotes,St. Louis Blues,Jaden Schwartz,St. Louis Blues,3
20142015,2014-10-22,Anaheim Ducks,Buffalo Sabres,Corey Perry,Anaheim Ducks,3
20142015,2014-10-23,Nashville Predators,Chicago Blackhawks,James Neal,Nashville Predators,3
20142015,2014-10-25,New York Islanders,Dallas Stars,Frans Nielsen,New York Islanders,3
20142015,2014-10-28,Tampa Bay Lightning,Arizona Coyotes,Nikita Kucherov,Tampa Bay Lightning,3
20142015,2014-10-28,Dallas Stars,St. Louis Blues,Vladimir Tarasenko,St. Louis Blues,3
20142015,2014-11-08,Dallas Stars,San Jose Sharks,Tyler Seguin,Dallas Stars,3
20142015,2014-11-11,St. Louis Blues,Buffalo Sabres,Jori Lehtera,St. Louis Blues,3
20142015,2014-11-13,Minnesota Wild,Buffalo Sabres,Nino Niederreiter,Minnesota Wild,3
20142015,2014-11-14,Vancouver Canucks,Arizona Coyotes,Martin Hanzal,Arizona Coyotes,3
